idx	label	predict	radius	pABar	correct	time
0	3	3	1.26	0.994	1	0:00:06.096736
20	7	7	0.518	0.85	1	0:00:05.265442
40	4	4	0.675	0.911	1	0:00:05.301388
60	7	7	1.6	0.999	1	0:00:05.299142
80	8	8	1.6	0.999	1	0:00:05.306196
100	4	5	0.301	0.726	0	0:00:05.697330
120	8	8	1.6	0.999	1	0:00:05.857280
140	6	6	0.424	0.802	1	0:00:05.414232
160	2	0	0.328	0.744	0	0:00:05.410957
180	0	0	1.02	0.979	1	0:00:05.672982
200	5	3	0.795	0.944	0	0:00:05.707448
220	7	7	1.6	0.999	1	0:00:06.020165
240	1	1	1.6	0.999	1	0:00:05.629716
260	8	3	0.221	0.671	0	0:00:05.633245
280	9	9	1.51	0.999	1	0:00:05.628512
300	6	3	0.71	0.922	0	0:00:05.628590
320	3	3	0.955	0.972	1	0:00:05.618895
340	2	4	0.456	0.819	0	0:00:05.604396
360	9	3	0.56	0.869	0	0:00:05.393753
380	6	-1	-0.165	0.37	0	0:00:05.402694
400	9	9	1.05	0.983	1	0:00:05.874960
420	4	4	1.32	0.996	1	0:00:05.906069
440	1	1	0.215	0.667	1	0:00:05.900251
460	5	5	1.56	0.999	1	0:00:05.625978
480	8	8	0.116	0.591	1	0:00:05.406795
500	4	6	0.413	0.796	0	0:00:05.417853
520	5	7	0.109	0.587	0	0:00:05.429352
540	1	1	1.17	0.99	1	0:00:05.422822
560	0	0	1.6	0.999	1	0:00:05.709296
580	4	4	1.14	0.989	1	0:00:06.024359
600	8	8	0.906	0.965	1	0:00:05.652503
620	7	7	0.219	0.669	1	0:00:05.646392
640	5	3	1.6	0.999	0	0:00:05.641828
660	9	3	0.881	0.961	0	0:00:05.648808
680	9	2	0.704	0.921	0	0:00:05.656581
700	7	7	0.432	0.806	1	0:00:05.375735
720	4	3	1.44	0.998	0	0:00:05.419214
740	2	3	0.951	0.971	0	0:00:05.434430
760	3	3	1.47	0.998	1	0:00:05.425507
780	9	1	0.557	0.867	0	0:00:06.123598
800	7	7	1.6	0.999	1	0:00:05.827600
820	6	5	0.115	0.591	0	0:00:05.387018
840	7	7	1.6	0.999	1	0:00:05.372173
860	4	4	0.206	0.66	1	0:00:05.386306
