idx	label	predict	radius	pABar	correct	time
0	3	3	0.189	0.647	1	0:00:05.291363
1	8	8	0.763	0.937	1	0:00:03.994092
2	8	8	0.986	0.976	1	0:00:03.992488
3	0	0	0.588	0.88	1	0:00:03.995695
4	6	6	0.159	0.625	1	0:00:04.003007
5	6	6	0.884	0.961	1	0:00:04.014270
6	1	-1	-0.218	0.332	0	0:00:04.023374
7	6	-1	-0.0923	0.427	0	0:00:04.031802
8	3	3	0.458	0.82	1	0:00:04.026902
9	1	9	0.0305	0.524	0	0:00:04.037194
10	0	0	0.26	0.698	1	0:00:04.029404
11	9	9	0.587	0.88	1	0:00:04.036978
12	5	-1	-0.162	0.373	0	0:00:04.052808
13	7	7	1.56	0.999	1	0:00:04.193397
14	9	9	0.983	0.975	1	0:00:06.875746
15	8	8	0.544	0.862	1	0:00:07.169884
16	5	5	0.299	0.725	1	0:00:06.726420
17	7	7	0.539	0.859	1	0:00:05.447702
18	8	8	0.896	0.963	1	0:00:04.887973
19	6	6	0.79	0.943	1	0:00:05.915702
20	7	7	0.44	0.81	1	0:00:05.999623
21	0	0	0.807	0.947	1	0:00:06.897250
22	4	0	0.382	0.777	0	0:00:07.450329
23	9	9	1.27	0.994	1	0:00:06.225904
24	5	4	0.324	0.742	0	0:00:05.976002
25	2	2	0.729	0.928	1	0:00:06.435750
26	4	4	0.423	0.801	1	0:00:06.539610
27	0	0	0.0441	0.535	1	0:00:04.991936
28	9	9	0.367	0.768	1	0:00:05.508812
29	6	6	0.888	0.962	1	0:00:05.926510
30	6	6	0.0777	0.562	1	0:00:06.596148
31	5	-1	-0.0164	0.487	0	0:00:06.828565
32	4	4	0.0242	0.519	1	0:00:07.910412
33	5	3	0.107	0.584	0	0:00:05.956413
34	9	9	1.29	0.995	1	0:00:07.919489
35	2	1	0.329	0.745	0	0:00:07.151386
36	4	-1	-0.188	0.354	0	0:00:07.733764
37	1	1	0.215	0.667	1	0:00:07.283109
38	9	9	0.5	0.841	1	0:00:05.803718
39	5	5	0.14	0.61	1	0:00:07.353249
40	4	4	0.431	0.805	1	0:00:06.619127
41	6	6	0.715	0.924	1	0:00:07.390353
42	5	5	0.103	0.582	1	0:00:06.763178
43	6	6	0.202	0.657	1	0:00:06.376737
44	0	0	0.942	0.97	1	0:00:05.152202
45	9	9	0.836	0.953	1	0:00:06.891706
46	3	3	0.658	0.906	1	0:00:06.221158
47	9	-1	-0.0678	0.446	0	0:00:07.271296
48	7	4	0.117	0.593	0	0:00:06.268796
49	6	6	0.0943	0.575	1	0:00:05.243032
50	9	9	0.147	0.616	1	0:00:06.674951
51	8	8	0.524	0.853	1	0:00:05.873279
52	0	-1	-0.226	0.326	0	0:00:06.291900
53	3	3	0.072	0.557	1	0:00:05.508127
54	8	8	1.16	0.99	1	0:00:05.431142
55	8	8	0.72	0.925	1	0:00:05.493146
56	7	7	0.0295	0.524	1	0:00:06.733955
57	7	-1	-0.124	0.402	0	0:00:05.489322
58	4	-1	-0.119	0.406	0	0:00:05.521230
59	6	-1	-0.0939	0.426	0	0:00:05.476383
60	7	7	0.866	0.958	1	0:00:05.350076
61	3	3	0.425	0.802	1	0:00:05.579591
62	6	6	0.31	0.732	1	0:00:05.640132
63	3	9	0.348	0.757	0	0:00:05.368884
64	6	6	0.496	0.839	1	0:00:06.565117
65	2	2	0.278	0.711	1	0:00:07.012890
66	1	-1	-0.291	0.28	0	0:00:05.529212
67	2	2	0.463	0.823	1	0:00:06.189777
68	3	3	0.395	0.785	1	0:00:05.377640
69	7	9	0.212	0.664	0	0:00:05.397626
70	2	-1	-0.0453	0.464	0	0:00:05.462963
71	6	6	0.324	0.742	1	0:00:05.775044
72	8	8	1.05	0.983	1	0:00:05.485135
73	8	8	0.917	0.967	1	0:00:05.719854
74	0	9	0.0635	0.55	0	0:00:07.203854
75	2	2	0.383	0.778	1	0:00:05.760332
76	9	9	0.0772	0.561	1	0:00:05.402366
77	3	3	0.71	0.922	1	0:00:05.588297
78	3	3	0.386	0.78	1	0:00:05.652970
79	8	8	0.953	0.972	1	0:00:05.395764
80	8	8	0.714	0.923	1	0:00:05.475425
81	1	1	1.0	0.977	1	0:00:05.519460
82	1	1	1.15	0.99	1	0:00:05.411896
83	7	7	0.192	0.65	1	0:00:05.674561
84	2	2	0.654	0.905	1	0:00:05.582398
85	5	7	1.36	0.997	0	0:00:05.461275
86	2	2	0.247	0.689	1	0:00:05.667793
87	7	-1	-0.108	0.415	0	0:00:05.434939
88	8	8	1.02	0.98	1	0:00:05.565123
89	9	9	0.453	0.818	1	0:00:05.587425
90	0	0	0.204	0.658	1	0:00:05.546492
91	3	4	0.0799	0.563	0	0:00:05.550353
92	8	8	0.887	0.962	1	0:00:05.391876
